H, 131, Period, DD, 1017, KeyK, UD, 886, KeyK, H, 100, KeyK, DD, 160, Digit3, UD, 60, Digit3, H, 139, Digit3, DD, 309, KeyM, UD, 170, KeyM, H, 158, KeyM, DD, 727, KeyO, UD, 569, KeyO, H, 93, KeyO, DD, 156, KeyO, UD, 63, KeyO, H, 95, KeyO, DD, 923, KeyS, UD, 828, KeyS, H, 117, KeyS, DD, 301, KeyA, UD, 184, KeyA, H, 167, KeyA, DD, 1036, KeyB, UD, 869, KeyB, DD, 94, KeyZ, UD, 963, KeyZ, H, 70, KeyB, H, 146, KeyZ, DD, 1076, Enter, UD, 930, Enter
H, 85, Enter, DD, 1199, Period, UD, 1114, Period, H, 123, Period, DD, 1522, KeyK, UD, 1399, KeyK, H, 120, KeyK, DD, 168, Digit3, UD, 48, Digit3, H, 125, Digit3, DD, 901, KeyM, UD, 776, KeyM, H, 102, KeyM, DD, 299, KeyO, UD, 197, KeyO, H, 63, KeyO, DD, 130, KeyO, UD, 67, KeyO, H, 118, KeyO, DD, 989, KeyS, UD, 871, KeyS, DD, 61, KeyA, UD, 932, KeyA, H, 76, KeyS, H, 162, KeyA, DD, 271, KeyB, UD, 109, KeyB, H, 157, KeyB, DD, 381, KeyZ, UD, 224, KeyZ, H, 126, KeyZ, DD, 978, Enter, UD, 852, Enter
H, 100, Enter, DD, 1093, Period, UD, 993, Period, H, 108, Period, DD, 597, KeyK, UD, 489, KeyK, H, 107, KeyK, DD, 363, Digit3, UD, 256, Digit3, H, 88, Digit3, DD, 156, KeyM, UD, 68, KeyM, H, 124, KeyM, DD, 504, KeyO, UD, 380, KeyO, H, 112, KeyO, DD, 158, KeyO, UD, 46, KeyO, H, 86, KeyO, DD, 4307, KeyS, UD, 4221, KeyS, H, 99, KeyS, DD, 1273, KeyA, UD, 1174, KeyA, DD, 123, KeyB, UD, 1297, KeyB, H, 39, KeyA, H, 175, KeyB, DD, 208, KeyZ, UD, 33, KeyZ, DD, 126, Enter, UD, 159, Enter
H, 12, KeyZ, H, 152, Enter, DD, 1509, Period, UD, 1357, Period, H, 127, Period, DD, 1506, KeyK, UD, 1379, KeyK, DD, 129, Digit3, UD, 1508, Digit3, H, 10, KeyK, H, 135, Digit3, DD, 726, KeyM, UD, 591, KeyM, H, 115, KeyM, DD, 401, KeyO, UD, 286, KeyO, H, 91, KeyO, DD, 138, KeyO, UD, 47, KeyO, H, 101, KeyO, DD, 397, KeyS, UD, 296, KeyS, H, 191, KeyS, DD, 201, KeyA, UD, 10, KeyA, H, 171, KeyA, DD, 508, KeyB, UD, 337, KeyB, DD, 89, KeyZ, UD, 426, KeyZ, H, 75, KeyB, H, 146, KeyZ, DD, 625, Enter, UD, 479, Enter
H, 97, Enter, DD, 654, Period, UD, 557, Period, H, 121, Period, DD, 1101, KeyK, UD, 980, KeyK, H, 81, KeyK, DD, 142, Digit3, UD, 61, Digit3, H, 114, Digit3, DD, 1354, KeyM, UD, 1240, KeyM, H, 123, KeyM, DD, 634, KeyO, UD, 511, KeyO, H, 80, KeyO, DD, 136, KeyO, UD, 56, KeyO, H, 90, KeyO, DD, 1184, KeyS, UD, 1094, KeyS, H, 96, KeyS, DD, 194, KeyA, UD, 98, KeyA, H, 139, KeyA, DD, 233, KeyB, UD, 94, KeyB, H, 124, KeyB, DD, 141, KeyZ, UD, 17, KeyZ, DD, 107, Enter, UD, 124, Enter
H, 18, KeyZ, H, 152, Enter, DD, 732, Period, UD, 580, Period, H, 112, Period, DD, 837, KeyK, UD, 725, KeyK, H, 86, KeyK, DD, 152, Digit3, UD, 66, Digit3, H, 59, Digit3, DD, 810, KeyM, UD, 751, KeyM, H, 118, KeyM, DD, 359, KeyO, UD, 241, KeyO, H, 124, KeyO, DD, 148, KeyO, UD, 24, KeyO, H, 114, KeyO, DD, 1389, KeyS, UD, 1275, KeyS, H, 118, KeyS, DD, 214, KeyA, UD, 96, KeyA, DD, 116, KeyB, UD, 212, KeyB, H, 10, KeyA, H, 111, KeyB, DD, 175, KeyZ, UD, 64, KeyZ, H, 137, KeyZ, DD, 149, Enter, UD, 12, Enter
H, 104, Enter, DD, 701, Period, UD, 597, Period, H, 114, Period, DD, 377, KeyK, UD, 263, KeyK, H, 102, KeyK, DD, 317, Digit3, UD, 215, Digit3, H, 137, Digit3, DD, 181, KeyM, UD, 44, KeyM, H, 122, KeyM, DD, 327, KeyO, UD, 205, KeyO, H, 84, KeyO, DD, 132, KeyO, UD, 48, KeyO, H, 117, KeyO, DD, 839, KeyS, UD, 722, KeyS, H, 121, KeyS, DD, 247, KeyA, UD, 126, KeyA, H, 155, KeyA, DD, 205, KeyB, UD, 50, KeyB, DD, 105, KeyZ, UD, 155, KeyZ, H, 8, KeyB, H, 125, KeyZ, DD, 678, Enter, UD, 553, Enter
H, 109, Enter, DD, 382, Period, UD, 273, Period, H, 92, Period, DD, 1089, KeyK, UD, 997, KeyK, H, 91, KeyK, DD, 442, Digit3, UD, 351, Digit3, H, 122, Digit3, DD, 183, KeyM, UD, 61, KeyM, H, 104, KeyM, DD, 295, KeyO, UD, 191, KeyO, H, 89, KeyO, DD, 152, KeyO, UD, 63, KeyO, H, 91, KeyO, DD, 284, KeyS, UD, 193, KeyS, H, 99, KeyS, DD, 208, KeyA, UD, 109, KeyA, H, 119, KeyA, DD, 285, KeyB, UD, 166, KeyB, H, 150, KeyB, DD, 205, KeyZ, UD, 55, KeyZ, H, 100, KeyZ, DD, 122, Enter, UD, 22, Enter
H, 113, Enter, DD, 752, Period, UD, 639, Period, H, 95, Period, DD, 728, KeyK, UD, 633, KeyK, H, 95, KeyK, DD, 101, Digit3, UD, 6, Digit3, H, 114, Digit3, DD, 170, KeyM, UD, 56, KeyM, H, 101, KeyM, DD, 233, KeyO, UD, 132, KeyO, H, 78, KeyO, DD, 195, KeyO, UD, 117, KeyO, H, 81, KeyO, DD, 391, KeyS, UD, 310, KeyS, H, 115, KeyS, DD, 241, KeyA, UD, 126, KeyA, H, 89, KeyA, DD, 155, KeyB, UD, 66, KeyB, H, 105, KeyB, DD, 117, KeyZ, UD, 12, KeyZ, H, 109, KeyZ, DD, 147, Enter, UD, 38, Enter
H, 114, Enter, DD, 690, Period, UD, 576, Period, H, 96, Period, DD, 355, KeyK, UD, 259, KeyK, H, 104, KeyK, DD, 369, Digit3, UD, 265, Digit3, H, 111, Digit3, DD, 224, KeyM, UD, 113, KeyM, H, 123, KeyM, DD, 432, KeyO, UD, 309, KeyO, H, 81, KeyO, DD, 132, KeyO, UD, 51, KeyO, H, 103, KeyO, DD, 518, KeyS, UD, 415, KeyS, H, 102, KeyS, DD, 294, KeyA, UD, 192, KeyA, H, 107, KeyA, DD, 153, KeyB, UD, 46, KeyB, H, 130, KeyB, DD, 133, KeyZ, UD, 3, KeyZ, H, 118, KeyZ, DD, 702, Enter, UD, 584, Enter
H, 102, Enter, DD, 713, Period, UD, 611, Period, H, 95, Period, DD, 707, KeyK, UD, 612, KeyK, H, 85, KeyK, DD, 146, Digit3, UD, 61, Digit3, H, 117, Digit3, DD, 432, KeyM, UD, 315, KeyM, H, 93, KeyM, DD, 299, KeyO, UD, 206, KeyO, H, 88, KeyO, DD, 163, KeyO, UD, 75, KeyO, H, 86, KeyO, DD, 222, KeyS, UD, 136, KeyS, H, 115, KeyS, DD, 264, KeyA, UD, 149, KeyA, H, 96, KeyA, DD, 164, KeyB, UD, 68, KeyB, H, 107, KeyB, DD, 156, KeyZ, UD, 49, KeyZ, H, 94, KeyZ, DD, 192, Enter, UD, 98, Enter
H, 123, Enter, DD, 354, Period, UD, 231, Period, H, 104, Period, DD, 916, KeyK, UD, 812, KeyK, H, 125, KeyK, DD, 208, Digit3, UD, 83, Digit3, H, 118, Digit3, DD, 154, KeyM, UD, 36, KeyM, H, 106, KeyM, DD, 309, KeyO, UD, 203, KeyO, H, 85, KeyO, DD, 162, KeyO, UD, 77, KeyO, H, 104, KeyO, DD, 283, KeyS, UD, 179, KeyS, H, 107, KeyS, DD, 299, KeyA, UD, 192, KeyA, H, 88, KeyA, DD, 256, KeyB, UD, 168, KeyB, H, 108, KeyB, DD, 122, KeyZ, UD, 14, KeyZ, H, 93, KeyZ, DD, 656, Enter, UD, 563, Enter
H, 105, Enter, DD, 539, Period, UD, 434, Period, H, 107, Period, DD, 976, KeyK, UD, 869, KeyK, H, 120, KeyK, DD, 232, Digit3, UD, 112, Digit3, H, 120, Digit3, DD, 157, KeyM, UD, 37, KeyM, H, 133, KeyM, DD, 655, KeyO, UD, 522, KeyO, H, 91, KeyO, DD, 158, KeyO, UD, 67, KeyO, H, 114, KeyO, DD, 373, KeyS, UD, 259, KeyS, H, 100, KeyS, DD, 181, KeyA, UD, 81, KeyA, H, 114, KeyA, DD, 222, KeyB, UD, 108, KeyB, H, 117, KeyB, DD, 183, KeyZ, UD, 66, KeyZ, H, 113, KeyZ, DD, 133, Enter, UD, 20, Enter
H, 94, Enter, DD, 789, KeyM, UD, 695, KeyM, H, 90, KeyM, DD, 1139, Enter, UD, 1049, Enter
H, 97, Enter, DD, 509, KeyK, UD, 412, KeyK, H, 82, KeyK, DD, 478, Digit3, UD, 396, Digit3, H, 120, Digit3, DD, 257, KeyM, UD, 137, KeyM, H, 110, KeyM, DD, 327, KeyO, UD, 217, KeyO, H, 88, KeyO, DD, 159, KeyO, UD, 71, KeyO, H, 96, KeyO, DD, 334, KeyS, UD, 238, KeyS, H, 111, KeyS, DD, 215, KeyA, UD, 104, KeyA, H, 110, KeyA, DD, 690, KeyB, UD, 580, KeyB, H, 101, KeyB, DD, 111, KeyZ, UD, 10, KeyZ, H, 120, KeyZ, DD, 386, Enter, UD, 266, Enter
H, 117, Enter, DD, 958, Period, UD, 841, Period, H, 103, Period, DD, 458, KeyK, UD, 355, KeyK, H, 91, KeyK, DD, 442, Digit3, UD, 351, Digit3, H, 97, Digit3, DD, 333, KeyM, UD, 236, KeyM, H, 89, KeyM, DD, 166, KeyM, UD, 77, KeyM, H, 101, KeyM, DD, 224, KeyO, UD, 123, KeyO, H, 91, KeyO, DD, 1129, Enter, UD, 1038, Enter
H, 101, Enter, DD, 1940, KeyK, UD, 1839, KeyK, H, 105, KeyK, DD, 177, Digit3, UD, 72, Digit3, H, 108, Digit3, DD, 135, KeyM, UD, 27, KeyM, H, 108, KeyM, DD, 636, KeyO, UD, 528, KeyO, H, 90, KeyO, DD, 141, KeyO, UD, 51, KeyO, H, 120, KeyO, DD, 339, KeyS, UD, 219, KeyS, H, 114, KeyS, DD, 244, KeyA, UD, 130, KeyA, H, 102, KeyA, DD, 159, KeyB, UD, 57, KeyB, H, 111, KeyB, DD, 122, KeyZ, UD, 11, KeyZ, H, 108, KeyZ, DD, 159, Enter, UD, 51, Enter
H, 103, Enter, DD, 686, Period, UD, 583, Period, H, 97, Period, DD, 408, KeyK, UD, 311, KeyK, H, 98, KeyK, DD, 256, Digit3, UD, 158, Digit3, H, 92, Digit3, DD, 530, KeyM, UD, 438, KeyM, H, 104, KeyM, DD, 376, KeyO, UD, 272, KeyO, H, 92, KeyO, DD, 153, KeyO, UD, 61, KeyO, H, 129, KeyO, DD, 246, KeyS, UD, 117, KeyS, H, 141, KeyS, DD, 229, KeyA, UD, 88, KeyA, H, 97, KeyA, DD, 101, KeyB, UD, 4, KeyB, H, 80, KeyB, DD, 137, KeyZ, UD, 57, KeyZ, H, 95, KeyZ, DD, 461, Enter, UD, 366, Enter
H, 103, Enter, DD, 10765, Period, UD, 10662, Period, H, 128, Period, DD, 537, KeyK, UD, 409, KeyK, H, 142, KeyK, DD, 203, Digit3, UD, 61, Digit3, H, 115, Digit3, DD, 360, KeyM, UD, 245, KeyM, H, 91, KeyM, DD, 153, KeyM, UD, 62, KeyM, H, 115, KeyM, DD, 224, KeyO, UD, 109, KeyO, H, 88, KeyO, DD, 440, KeyS, UD, 352, KeyS, H, 97, KeyS, DD, 194, KeyA, UD, 97, KeyA, H, 96, KeyA, DD, 103, KeyB, UD, 7, KeyB, H, 89, KeyB, DD, 155, KeyZ, UD, 66, KeyZ, H, 109, KeyZ, DD, 116, Enter, UD, 7, Enter
H, 99, Enter, DD, 7778, Period, UD, 7679, Period, H, 151, Period, DD, 365, KeyK, UD, 214, KeyK, H, 145, KeyK, DD, 195, Digit3, UD, 50, Digit3, H, 105, Digit3, DD, 573, KeyM, UD, 468, KeyM, H, 108, KeyM, DD, 299, KeyO, UD, 191, KeyO, H, 83, KeyO, DD, 130, KeyO, UD, 47, KeyO, H, 100, KeyO, DD, 162, KeyS, UD, 62, KeyS, H, 118, KeyS, DD, 172, KeyA, UD, 54, KeyA, DD, 131, KeyB, UD, 185, KeyB, H, 11, KeyA, H, 104, KeyB, DD, 286, KeyZ, UD, 182, KeyZ, H, 123, KeyZ, DD, 142, Enter, UD, 19, Enter
H, 132, Enter, DD, 2580, Period, UD, 2448, Period, H, 107, Period, DD, 1161, KeyK, UD, 1054, KeyK, H, 90, KeyK, DD, 181, Digit3, UD, 91, Digit3, H, 86, Digit3, DD, 368, KeyM, UD, 282, KeyM, H, 89, KeyM, DD, 235, KeyO, UD, 146, KeyO, H, 77, KeyO, DD, 135, KeyO, UD, 58, KeyO, H, 92, KeyO, DD, 161, KeyS, UD, 69, KeyS, H, 104, KeyS, DD, 185, KeyA, UD, 81, KeyA, DD, 103, KeyB, UD, 184, KeyB, H, 12, KeyA, H, 100, KeyB, DD, 167, KeyZ, UD, 67, KeyZ, DD, 98, Enter, UD, 165, Enter
H, 16, KeyZ, H, 119, Enter, DD, 1245, Period, UD, 1126, Period, H, 94, Period, DD, 238, KeyK, UD, 144, KeyK, H, 85, KeyK, DD, 228, Digit3, UD, 143, Digit3, H, 112, Digit3, DD, 130, KeyM, UD, 18, KeyM, H, 91, KeyM, DD, 318, KeyO, UD, 227, KeyO, H, 77, KeyO, DD, 145, KeyO, UD, 68, KeyO, H, 114, KeyO, DD, 315, KeyS, UD, 201, KeyS, H, 90, KeyS, DD, 208, KeyA, UD, 118, KeyA, H, 108, KeyA, DD, 143, KeyB, UD, 35, KeyB, H, 87, KeyB, DD, 110, KeyZ, UD, 23, KeyZ, H, 108, KeyZ, DD, 334, Enter, UD, 226, Enter
H, 142, Enter, DD, 456, Period, UD, 314, Period, H, 113, Period, DD, 506, KeyK, UD, 393, KeyK, H, 100, KeyK, DD, 326, Digit3, UD, 226, Digit3, H, 122, Digit3, DD, 172, KeyM, UD, 50, KeyM, H, 100, KeyM, DD, 917, KeyO, UD, 817, KeyO, H, 101, KeyO, DD, 168, KeyO, UD, 67, KeyO, H, 114, KeyO, DD, 293, KeyS, UD, 179, KeyS, H, 108, KeyS, DD, 280, KeyA, UD, 172, KeyA, H, 108, KeyA, DD, 469, KeyB, UD, 361, KeyB, DD, 89, KeyZ, UD, 450, KeyZ, H, 10, KeyB, H, 118, KeyZ, DD, 593, Enter, UD, 475, Enter
H, 91, Enter, DD, 580, Period, UD, 489, Period, H, 101, Period, DD, 858, KeyK, UD, 757, KeyK, H, 94, KeyK, DD, 117, Digit3, UD, 23, Digit3, H, 127, Digit3, DD, 280, KeyM, UD, 153, KeyM, H, 86, KeyM, DD, 487, KeyO, UD, 401, KeyO, H, 99, KeyO, DD, 403, KeyO, UD, 304, KeyO, H, 97, KeyO, DD, 1155, KeyS, UD, 1058, KeyS, H, 120, KeyS, DD, 835, KeyA, UD, 715, KeyA, H, 88, KeyA, DD, 123, KeyB, UD, 35, KeyB, H, 95, KeyB, DD, 130, KeyZ, UD, 35, KeyZ, H, 115, KeyZ, DD, 132, Enter, UD, 17, Enter
H, 97, Enter, DD, 600, Period, UD, 503, Period, H, 113, Period, DD, 347, KeyK, UD, 234, KeyK, H, 109, KeyK, DD, 266, Digit3, UD, 157, Digit3, H, 124, Digit3, DD, 146, KeyM, UD, 22, KeyM, H, 113, KeyM, DD, 312, KeyO, UD, 199, KeyO, H, 91, KeyO, DD, 154, KeyO, UD, 63, KeyO, H, 96, KeyO, DD, 213, KeyS, UD, 117, KeyS, H, 114, KeyS, DD, 182, KeyA, UD, 68, KeyA, H, 120, KeyA, DD, 144, KeyB, UD, 24, KeyB, H, 114, KeyB, DD, 179, KeyZ, UD, 65, KeyZ, DD, 132, Enter, UD, 197, Enter
H, 21, KeyZ, H, 156, Enter, DD, 307, Period, UD, 151, Period, H, 153, Period, DD, 607, KeyK, UD, 454, KeyK, H, 75, KeyK, DD, 634, Digit3, UD, 559, Digit3, H, 90, Digit3, DD, 214, KeyM, UD, 124, KeyM, H, 101, KeyM, DD, 361, KeyO, UD, 260, KeyO, H, 90, KeyO, DD, 164, KeyO, UD, 74, KeyO, H, 103, KeyO, DD, 278, KeyS, UD, 175, KeyS, H, 101, KeyS, DD, 245, KeyA, UD, 144, KeyA, H, 129, KeyA, DD, 260, KeyB, UD, 131, KeyB, H, 113, KeyB, DD, 125, KeyZ, UD, 12, KeyZ, H, 129, KeyZ, DD, 156, Enter, UD, 27, Enter
H, 120, Enter, DD, 298, Period, UD, 178, Period, H, 110, Period, DD, 366, KeyK, UD, 256, KeyK, H, 108, KeyK, DD, 564, Digit3, UD, 456, Digit3, H, 132, Digit3, DD, 182, KeyM, UD, 50, KeyM, H, 127, KeyM, DD, 427, KeyO, UD, 300, KeyO, H, 81, KeyO, DD, 153, KeyO, UD, 72, KeyO, H, 104, KeyO, DD, 1126, KeyS, UD, 1022, KeyS, H, 142, KeyS, DD, 1517, KeyA, UD, 1375, KeyA, DD, 121, KeyB, UD, 1496, KeyB, H, 7, KeyA, H, 120, KeyB, DD, 195, KeyZ, UD, 75, KeyZ, H, 149, KeyZ, DD, 211, Enter, UD, 62, Enter
H, 174, Enter, DD, 685, Period, UD, 511, Period, H, 121, Period, DD, 332, KeyK, UD, 211, KeyK, H, 119, KeyK, DD, 366, Digit3, UD, 247, Digit3, H, 110, Digit3, DD, 175, KeyM, UD, 65, KeyM, H, 109, KeyM, DD, 296, KeyO, UD, 187, KeyO, H, 78, KeyO, DD, 130, KeyO, UD, 52, KeyO, H, 114, KeyO, DD, 219, KeyS, UD, 105, KeyS, H, 110, KeyS, DD, 209, KeyA, UD, 99, KeyA, H, 109, KeyA, DD, 124, KeyB, UD, 15, KeyB, H, 98, KeyB, DD, 151, KeyZ, UD, 53, KeyZ, H, 110, KeyZ, DD, 161, Enter, UD, 51, Enter
H, 113, Enter, DD, 2459, Period, UD, 2346, Period, H, 120, Period, DD, 278, KeyK, UD, 158, KeyK, DD, 74, Digit3, UD, 232, Digit3, H, 35, KeyK, H, 102, Digit3, DD, 205, KeyM, UD, 103, KeyM, H, 63, KeyM, DD, 336, KeyO, UD, 273, KeyO, H, 84, KeyO, DD, 135, KeyO, UD, 51, KeyO, H, 110, KeyO, DD, 737, KeyS, UD, 627, KeyS, H, 107, KeyS, DD, 201, KeyA, UD, 94, KeyA, H, 102, KeyA, DD, 151, KeyB, UD, 49, KeyB, H, 96, KeyB, DD, 106, KeyZ, UD, 10, KeyZ, H, 106, KeyZ, DD, 171, Enter, UD, 65, Enter
H, 132, Enter, DD, 345, Period, UD, 213, Period, H, 108, Period, DD, 453, KeyK, UD, 345, KeyK, H, 111, KeyK, DD, 326, Digit3, UD, 215, Digit3, H, 103, Digit3, DD, 160, KeyM, UD, 57, KeyM, H, 109, KeyM, DD, 333, KeyO, UD, 224, KeyO, H, 75, KeyO, DD, 149, KeyO, UD, 74, KeyO, H, 82, KeyO, DD, 528, KeyS, UD, 446, KeyS, H, 97, KeyS, DD, 347, KeyA, UD, 250, KeyA, H, 85, KeyA, DD, 156, KeyB, UD, 71, KeyB, H, 94, KeyB, DD, 117, KeyZ, UD, 23, KeyZ, H, 98, KeyZ, DD, 167, Enter, UD, 69, Enter
H, 124, Enter, DD, 293, Period, UD, 169, Period, H, 103, Period, DD, 1882, KeyK, UD, 1779, KeyK, H, 185, KeyK, DD, 244, Digit3, UD, 59, Digit3, H, 120, Digit3, DD, 203, KeyM, UD, 83, KeyM, H, 133, KeyM, DD, 332, KeyO, UD, 199, KeyO, H, 86, KeyO, DD, 157, KeyO, UD, 71, KeyO, H, 116, KeyO, DD, 260, KeyS, UD, 144, KeyS, H, 105, KeyS, DD, 197, KeyA, UD, 92, KeyA, H, 120, KeyA, DD, 180, KeyB, UD, 60, KeyB, H, 100, KeyB, DD, 113, KeyZ, UD, 13, KeyZ, H, 110, KeyZ, DD, 161, Enter, UD, 51, Enter
H, 143, Enter, DD, 1092, Period, UD, 949, Period, H, 138, Period, DD, 1021, KeyK, UD, 883, KeyK, DD, 87, Digit3, UD, 970, Digit3, H, 9, KeyK, H, 123, Digit3, DD, 166, KeyM, UD, 43, KeyM, H, 104, KeyM, DD, 714, KeyO, UD, 610, KeyO, H, 76, KeyO, DD, 139, KeyO, UD, 63, KeyO, H, 105, KeyO, DD, 193, KeyS, UD, 88, KeyS, H, 146, KeyS, DD, 258, KeyA, UD, 112, KeyA, H, 116, KeyA, DD, 181, KeyB, UD, 65, KeyB, H, 96, KeyB, DD, 153, KeyZ, UD, 57, KeyZ, H, 124, KeyZ, DD, 143, Enter, UD, 19, Enter
H, 136, Enter, DD, 610, Period, UD, 474, Period, H, 132, Period, DD, 346, KeyK, UD, 214, KeyK, H, 154, KeyK, DD, 228, Digit3, UD, 74, Digit3, H, 114, Digit3, DD, 161, KeyM, UD, 47, KeyM, H, 114, KeyM, DD, 308, KeyO, UD, 194, KeyO, H, 73, KeyO, DD, 129, KeyO, UD, 56, KeyO, H, 115, KeyO, DD, 379, KeyS, UD, 264, KeyS, H, 104, KeyS, DD, 207, KeyA, UD, 103, KeyA, H, 91, KeyA, DD, 173, KeyB, UD, 82, KeyB, DD, 94, KeyZ, UD, 176, KeyZ, H, 9, KeyB, H, 110, KeyZ, DD, 166, Enter, UD, 56, Enter
